company_dunsum,avg_employee_count,top1_dunsnumber,top2_dunsnumber,top3_dunsnumber,top4_dunsnumber,top5_dunsnumber,top1_avg_employee_count,top2_avg_employee_count,top3_avg_employee_count,top4_avg_employee_count,top5_avg_employee_count
1023472,1,1393123,4127879,4313043,5281707,8221285,1,1,1,1,1
1201503,8,2206832,2531325,2571719,11445301,17631792,8,8,8,8,8
1210715,2280.3333333333,47421003,932617434,44001865,71179246,794227749,2283,2283.3333333333,2288,2290.8,2300
1211952,NA,,,,,,,,,,
1213487,1000,88209064,112084533,128974271,622744472,802577861,1000,1000,1000,1000,1000
1220060,NA,,,,,,,,,,
1230762,4389,22555028,835484361,86723285,618272038,789986556,4400,4402,4375,4366.6666666667,4349
1235886,18,1655984,2245798,3855905,8280344,11121563,18,18,18,18,18
1261031,28,2012722,2483063,11660685,11857026,20767356,28,28,28,28,28
1270859,25,1385947,1503895,1913912,2155232,2272045,25,25,25,25,25
1271188,200,2363505,2371359,4169793,5199588,44156925,200,200,200,200,200
1288042,24300,798318598,4321519,50994391,799879569,609734843,24300,24333.3333333333,24266.6666666667,24104,24000
1288497,176000,171218949,148968634,59513960,187894373,6265946,183500,184299.25,166980,163866.666666667,162000
1291830,350,1892108,12112496,22552298,68701713,79328811,350,350,350,350,350
1292192,26400,833076883,108219403,7911753,14881445,54554290,26333.3333333333,26300,26566,26681,26785.8333333333
1305275,62.6666666667,198517146,783787133,75183293,832738806,949103725,63,63,63,63,63
1307032,95258.6666666667,8148442,944204924,194956751,620837836,231312864,95000,94944.6666666667,96000,96000,97000
1317064,58198.3333333333,130493794,135246283,168761674,186636221,6987648,58000,58500,58666.6666666667,57400,57000
1317718,72,11588027,44709129,60815016,113071609,189741390,72,72,72,72,72
1318112,NA,,,,,,,,,,
1325240,25693.2,85333792,56672785,82838066,1399054,3184462,25833.3333333333,25524,26000,26000,26000
1327683,30,1861079,2140499,2143923,11695434,11769192,30,30,30,30,30
1328681,95,2454874,46353298,151803723,555504430,791360399,95,95,95,95,95
1328863,24.3333333333,129467390,143048986,610557899,966423352,93837169,24.3333333333,24.3333333333,24.3333333333,24.3333333333,24.4
1344506,NA,,,,,,,,,,
1344621,NA,,,,,,,,,,
1345610,412.5,601716475,1713437,79311825,800190126,69873818,410.8333333333,410,415,410,410
1359512,19,2154045,2167872,2562080,14122332,17193025,19,19,19,19,19
1367366,61528,836196972,3253788,20278375,167523583,112753194,61250,61000,60800,60800,60766.6666666667
1368026,42323,83655498,785135562,173361601,11153103,7364552,42450,42000,42834.5,41775,43000
1368141,28666.6666666667,3130531,39839683,68605067,828118484,55295026,29000,29000,29038,29166.6666666667,28160
1375294,150,1489491,2027514,49621519,62026208,64325129,150,150,150,150,150
1378892,NA,,,,,,,,,,
1381482,203.3333333333,85494268,8940186,110261711,2319044,129325317,203,202.6666666667,202.5,202.5,204.1666666667
1384759,48.5,2170876,72702715,11951266,130281814,176262442,48.5,48.5,48.5,48.3333333333,48.3333333333
1385947,25,1270859,1503895,1913912,2155232,2272045,25,25,25,25,25
1389642,220,14778321,14929877,20083697,11083102,40861601,220,220,220,220,220
