company_dunsum,avg_fed_contract,top1_dunsnumber,top2_dunsnumber,top3_dunsnumber,top4_dunsnumber,top5_dunsnumber,top1_avg_fed_contract,top2_avg_fed_contract,top3_avg_fed_contract,top4_avg_fed_contract,top5_avg_fed_contract
1023472,3923.58,803752716,806497178,116279126,8302929,143515323,3922.4,3925,3927.1,3920,3918.75
1201503,2501,87315656,144329518,797427036,52477978,140201380,2501,2501,2501,2501,2501
1210715,30721.942,67389361,140029229,7915226,827574000,966192580,30733.17,30733.32,30708.122,30752.815,30765
1211952,13833110.52,159734151,962048646,194239018,966233231,56354640,13820295.91,13803016.6666667,13716655.664,13953926.0183333,14020999.285
1213487,-1851.79,12205241,84871276,879121056,144452836,150680924,-1897.4,-1800,-1799.89,-1904,-1790
1220060,-120633,790551154,7575160,15706877,73252322,115350258,-120042.16,-121815,-118571.2,-118437.396666667,-123422.13
1230762,1718957.17166667,65694200,60729753,808350172,801877879,87424511,1719810.44666667,1714156.01833333,1724696.60833333,1708196.298,1706342.985
1235886,23280,37763513,154442602,161196688,807122119,130493604,23286.275,23290,23269.43,23267.49,23263.3425
1261031,23835,193567856,129450917,64928195,809968902,95171203,23828.4,23844,23852,23816,23855
1270859,217740,38994083,794757935,557163537,2004570,69412794,217818.95,217469.008,218170,217278.868333333,217160
1271188,NA,,,,,,,,,,
1288042,61975672.0475,83070925,6930358,83535773,21964036,825841369,62148845.315,61488498.0666667,60916491.035,70255378.3883333,51852413.6625
1288497,173465.683333333,829713168,85074052,147492131,96500483,112951533,173476.416666667,173492.115,173597.38,173190.32,173806
1291830,12131.5,965007503,809919038,2326585,128793648,47439141,12136.0525,12140,12120.51,12142.59,12147.62
1292192,9652925.69,601242910,97833248,190451104,187834502,809013068,9728756.61833333,9529096.14333333,9828787.24333333,9931718.52166667,9350831.99833333
1305275,35429.8,625905062,133111844,173574161,796990232,186816914,35411,35400,35386.5,35378.4066666667,35483.12
1307032,7394.065,803043129,21942567,606121163,24920761,830021270,7392,7387.55,7400.8,7402.5,7404
1317064,27347.61,122152820,783194087,121260777,167445928,622818664,27355.3566666667,27356.875,27328.79,27369.6,27325.1225
1317718,56761.13,159998632,784154895,56647084,64292980,32345683,56760.7566666667,56770.58,56784,56795.285,56800
1318112,4130412.59,85647949,199067265,858614175,51758449,830331638,4132078.30833333,4121437.595,4149933.0975,4108047.7,4157774.71
1325240,37904607.28,85333792,194956751,78790103,824636240,617379607,37958707.862,37810840.43,38219948.38,38603000,38749228.53
1327683,32971.0225,829331243,196169320,4389318,622718989,965408230,32981.95,32948.67,32994,33000,33000
