company_dunsum,product_count,top1_dunsnumber,top2_dunsnumber,top3_dunsnumber,top4_dunsnumber,top5_dunsnumber,top1_product_count,top2_product_count,top3_product_count,top4_product_count,top5_product_count,top1_jaccard_distance,top2_jaccard_distance,top3_jaccard_distance,top4_jaccard_distance,top5_jaccard_distance
612539135,1,800535325,786474093,827134995,968430475,930186598,1,1,1,1,1,0,0,0,0,0
2163178,3,623758133,9184578,145945833,198612053,156986119,2,4,1,1,1,0.3333333333,0.6,0.6666666667,0.6666666667,0.6666666667
11478401,1,48602825,11659216,2560522,41816919,967755641,1,1,2,2,11,0,0,0.5,0.5,0.9090909091
2300051,5,52520194,176529357,1284447,18943329,157306960,4,2,2,3,3,0.5,0.6,0.6,0.6666666667,0.6666666667
878914340,3,12420824,828516257,94626921,144395381,140757589,1,1,1,1,1,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667
119215507,4,10945178,11121563,5083209,613795293,130076511,3,4,2,2,2,0.25,0.4,0.5,0.5,0.5
12420824,1,42707203,39089248,878914340,101119332,2508463,1,2,3,11,17,0,0.5,0.6666666667,0.9090909091,0.9411764706
133418371,1,809352156,614767403,6645683,790254312,784472409,1,1,1,1,1,0,0,0,0,0
556496370,2,61939265,136483802,149345634,118177190,159776806,2,2,3,3,3,0,0,0.3333333333,0.3333333333,0.3333333333
53381612,1,164573102,65516288,138782797,5950584,37141769,1,1,1,1,1,0,0,0,0,0
872851308,1,19504168,50284504,827417481,37175700,131700668,1,2,3,5,11,0,0.5,0.6666666667,0.8,0.9090909091
11580302,1,108241886,179261420,94235348,94238383,807861547,1,1,2,3,4,0,0,0.5,0.6666666667,0.75
830575101,1,131560935,119704054,831531285,78460157,782447341,1,1,1,1,1,0,0,0,0,0
876456161,1,961883753,134459663,604039057,142200463,831241844,1,1,1,1,1,0,0,0,0,0
131560935,1,830575101,119704054,831531285,78460157,782447341,1,1,1,1,1,0,0,0,0,0
602975120,1,61170858,73748790,614683407,54252405,831846568,1,1,1,1,1,0,0,0,0,0
76829621,1,58675323,95279998,148636798,160982120,183790476,2,2,3,3,3,0.5,0.5,0.6666666667,0.6666666667,0.6666666667
156389780,10,608467531,141315924,12167078,14723233,859716677,7,3,9,5,5,0.6923076923,0.7,0.7333333333,0.75,0.75
809174175,5,115978041,612687459,949103725,195823570,12334962,3,3,4,4,4,0.4,0.4,0.5,0.5,0.5
794039441,5,600821925,126653869,170632512,82191198,783518749,3,3,2,2,2,0.4,0.4,0.6,0.6,0.6
143178437,2,133418371,809352156,614767403,6645683,790254312,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5
153672964,1,99851016,969675123,150282309,41455850,78795863,1,1,1,1,1,0,0,0,0,0
129779455,1,25941369,879033009,79227585,113228204,790653729,1,1,1,2,2,0,0,0,0.5,0.5
99851016,1,153672964,969675123,150282309,41455850,78795863,1,1,1,1,1,0,0,0,0,0
783923142,1,77176477,18348057,8347437,18169412,46877440,1,1,1,1,1,0,0,0,0,0
802316679,7,19154850,933969123,831931048,53600573,71013379,2,8,3,9,6,0.7142857143,0.75,0.75,0.7692307692,0.8181818182
4188702,3,805774044,144845976,157012845,963475111,57158479,1,1,1,1,1,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667
43683515,2,46311163,969270065,243651288,251476669,180362290,3,3,1,1,1,0.3333333333,0.3333333333,0.5,0.5,0.5
1885953,1,968852749,58317863,7938207,847927498,806756552,1,1,1,1,1,0,0,0,0,0
154586549,1,193054264,112623306,612539135,2163178,11478401,1,2,1,3,1,0,0.5,1,1,1
867034647,1,1364561,809746014,15965841,133878582,76900880,1,1,1,1,2,0,0,0,0,0.5
62046974,31,808350172,11411790,831172692,833064566,147026272,59,25,27,61,58,0.7142857143,0.7272727273,0.7391304348,0.7397260274,0.7638888889
112373324,2,153672964,99851016,969675123,150282309,41455850,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5
938289527,3,12913265,144763067,1885953,968852749,58317863,2,4,1,1,1,0.3333333333,0.6,0.6666666667,0.6666666667,0.6666666667
933861411,2,826559481,137058413,56070126,166656462,828516257,2,2,2,3,1,0,0,0,0.3333333333,0.5
969675123,1,153672964,99851016,150282309,41455850,78795863,1,1,1,1,1,0,0,0,0,0
150282309,1,153672964,99851016,969675123,41455850,78795863,1,1,1,1,1,0,0,0,0,0
1391333,3,803730316,54321898,188570626,806750386,2227478,2,1,1,1,1,0.3333333333,0.6666666667,0.6666666667,0.6666666667,0.6666666667
62978010,1,800580594,795952852,621412506,140703641,5687343,1,1,1,1,1,0,0,0,0,0
36475833,4,126656896,14387489,556068948,103390717,144506081,4,2,2,2,3,0.4,0.5,0.5,0.5,0.6
115715877,1,78512027,13923441,164921590,830961251,16579943,1,1,1,1,1,0,0,0,0,0
73752156,1,801764163,118847982,794491712,69051241,20996562,1,1,1,1,1,0,0,0,0,0
11658242,59,1292192,83171244,53046579,782053516,139210991,39,38,30,59,57,0.6933333333,0.7066666667,0.7101449275,0.7173913043,0.752688172
192372860,1,118517445,103403846,926309378,50617893,85973121,1,1,1,3,3,0,0,0,0.6666666667,0.6666666667
808465376,1,55632376,153523022,181210584,49854607,87840018,1,1,2,2,5,0,0,0.5,0.5,0.8
363655143,1,603241761,151392722,167297402,124268314,103622655,1,1,1,1,1,0,0,0,0,0
129369125,1,612539135,2163178,11478401,2300051,878914340,1,3,1,5,3,1,1,1,1,1
41215252,1,6930358,124630810,57912826,125150685,612539135,6,12,14,26,1,0.8333333333,0.9166666667,0.9285714286,0.9615384615,1
960804664,2,194672085,184860096,118431316,828701297,96878236,2,2,2,2,2,0,0,0,0,0
877260471,2,53502436,51535503,169601999,5574330,155561806,3,3,3,1,1,0.3333333333,0.3333333333,0.3333333333,0.5,0.5
59640651,1,14866070,805666208,9532394,103995051,30205363,1,1,1,1,1,0,0,0,0,0
960546653,1,75263558,86803673,788495521,406928382,108048612,1,2,2,2,2,0,0.5,0.5,0.5,0.5
113436476,4,38242863,44545077,182011635,132705489,135528821,3,3,3,4,4,0.6,0.6,0.6,0.6666666667,0.6666666667
8631017,2,38593414,119606312,155410751,616201125,11507821,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5
806710588,1,152056029,784116691,793134081,847410081,41183773,1,1,1,1,1,0,0,0,0,0
5212343,1,17772240,119176253,830780503,117342790,23223791,1,1,1,1,2,0,0,0,0,0.5
123509767,1,965408230,7915839,800413036,153684134,3275224,1,1,1,1,1,0,0,0,0,0
